SA2 Code,SA2 Label,Heart stroke vascular (%) All ages,Heart stroke vascular (%) 60 years and over,Heart stroke vascular (%) 70 years and over
211051286,Yarra Valley,NA,NA,21.5
117021326,Marrickville,NA,NA,21.5
403041080,Happy Valley,NA,NA,21.5
212051319,Ashwood - Chadstone,NA,NA,21.5
118021567,Maroubra - South,NA,NA,21.5
507051191,Singleton - Golden Bay - Secret Harbour,NA,NA,21.5
101041017,Batemans Bay,NA,NA,21.5
319031511,Cooloola,NA,NA,21.5
208031188,Cheltenham - Highett (East),NA,NA,21.5
307021183,Wambo,NA,NA,21.5
120031393,Croydon Park - Enfield,NA,15.6,21.6
109011176,Lavington,NA,16.5,21.6
509031250,Wagin,NA,16.7,21.6
122031428,Frenchs Forest - Belrose,NA,16.9,21.6
122031427,Forestville - Killarney Heights,NA,17,21.6
601021007,Howrah - Tranmere,6.5,17.4,21.6
124041466,Richmond - Clarendon,NA,17.5,21.6
120011384,Concord West - North Strathfield,NA,NA,21.6
115011559,Kellyville,NA,NA,21.6
207031167,Surrey Hills (East) - Mont Albert,NA,NA,21.6
313041372,Burpengary,NA,NA,21.6
107041150,Woonona - Bulli - Russell Vale,NA,NA,21.6
118021566,Maroubra - North,NA,NA,21.6
101041026,Moruya - Tuross Head,NA,NA,21.6
403041085,Morphett Vale - West,NA,NA,21.6
319021509,Nanango,NA,NA,21.6
509021237,Cunderdin,NA,NA,21.6
401051019,St Peters - Marden,NA,15.7,21.7
319031514,Gympie Region,6,15.9,21.7
204031074,Wodonga,NA,16.4,21.7
102011032,Gosford - Springfield,NA,16.4,21.7
602011041,Newnham - Mayfield,NA,16.8,21.7
303051073,Calamvale - Stretton,NA,NA,21.7
306021148,Gordonvale - Trinity,NA,NA,21.7
404021099,Largs Bay - Semaphore,NA,NA,21.7
126021501,North Ryde - East Ryde,NA,NA,21.7
301031021,Wynnum West - Hemmant,NA,NA,21.7
121021406,Normanhurst - Thornleigh - Westleigh,NA,NA,21.7
125041490,North Rocks,NA,NA,21.7
203021038,Corio - Norlane,NA,NA,21.7
124031461,Jamisontown - South Penrith,NA,NA,21.7
103011058,Bathurst,NA,NA,21.7
